TrtID,TrtDesc,GermTemp,CumTime,CumFraction
1,Tomato-15C-Water,15,95,0.0625
1,Tomato-15C-Water,15,101,0.083333333
1,Tomato-15C-Water,15,103,0.104166667
1,Tomato-15C-Water,15,106,0.125
1,Tomato-15C-Water,15,108,0.166666667
1,Tomato-15C-Water,15,110,0.208333333
1,Tomato-15C-Water,15,112,0.25
1,Tomato-15C-Water,15,115,0.28125
1,Tomato-15C-Water,15,118,0.34375
1,Tomato-15C-Water,15,120,0.395833333
1,Tomato-15C-Water,15,122,0.427083333
1,Tomato-15C-Water,15,125,0.479166667
1,Tomato-15C-Water,15,127,0.510416667
1,Tomato-15C-Water,15,129,0.572916667
1,Tomato-15C-Water,15,131,0.604166667
1,Tomato-15C-Water,15,133,0.697916667
1,Tomato-15C-Water,15,136,0.729166667
1,Tomato-15C-Water,15,138,0.760416667
1,Tomato-15C-Water,15,141,0.802083333
1,Tomato-15C-Water,15,144,0.84375
1,Tomato-15C-Water,15,149,0.885416667
1,Tomato-15C-Water,15,155,0.927083333
1,Tomato-15C-Water,15,166,0.947916667
1,Tomato-15C-Water,15,169,0.96875
4,Tomato-20C-Water,20,70,0.0625
4,Tomato-20C-Water,20,71,0.072916667
4,Tomato-20C-Water,20,73,0.09375
4,Tomato-20C-Water,20,74,0.114583333
4,Tomato-20C-Water,20,75,0.145833333
4,Tomato-20C-Water,20,76,0.177083333
4,Tomato-20C-Water,20,77,0.208333333
4,Tomato-20C-Water,20,78,0.21875
4,Tomato-20C-Water,20,79,0.270833333
4,Tomato-20C-Water,20,80,0.291666667
4,Tomato-20C-Water,20,81,0.3125
4,Tomato-20C-Water,20,82,0.34375
4,Tomato-20C-Water,20,83,0.354166667
4,Tomato-20C-Water,20,85,0.416666667
4,Tomato-20C-Water,20,86,0.4375
4,Tomato-20C-Water,20,87,0.46875
4,Tomato-20C-Water,20,88,0.510416667
4,Tomato-20C-Water,20,89,0.53125
4,Tomato-20C-Water,20,90,0.5625
4,Tomato-20C-Water,20,91,0.625
4,Tomato-20C-Water,20,92,0.65625
4,Tomato-20C-Water,20,93,0.6875
4,Tomato-20C-Water,20,95,0.739583333
4,Tomato-20C-Water,20,96,0.791666667
4,Tomato-20C-Water,20,97,0.822916667
4,Tomato-20C-Water,20,98,0.833333333
4,Tomato-20C-Water,20,99,0.854166667
4,Tomato-20C-Water,20,101,0.864583333
4,Tomato-20C-Water,20,102,0.90625
4,Tomato-20C-Water,20,103,0.916666667
4,Tomato-20C-Water,20,106,0.9375
4,Tomato-20C-Water,20,107,0.947916667
4,Tomato-20C-Water,20,109,0.958333333
4,Tomato-20C-Water,20,116,0.979166667
4,Tomato-20C-Water,20,121,0.989583333
7,Tomato-25C-Water,25,47,0.03373538
7,Tomato-25C-Water,25,48,0.046527778
7,Tomato-25C-Water,25,49,0.062792398
7,Tomato-25C-Water,25,50,0.08373538
7,Tomato-25C-Water,25,51,0.10120614
7,Tomato-25C-Water,25,52,0.125584795
7,Tomato-25C-Water,25,53,0.137792398
7,Tomato-25C-Water,25,54,0.153508772
7,Tomato-25C-Water,25,55,0.170979532
7,Tomato-25C-Water,25,56,0.18497807
7,Tomato-25C-Water,25,57,0.216483918
7,Tomato-25C-Water,25,58,0.240862573
7,Tomato-25C-Water,25,59,0.272295322
7,Tomato-25C-Water,25,60,0.292105263
7,Tomato-25C-Water,25,61,0.315387427
7,Tomato-25C-Water,25,62,0.342251462
7,Tomato-25C-Water,25,63,0.384173977
7,Tomato-25C-Water,25,64,0.408589181
7,Tomato-25C-Water,25,65,0.429605263
7,Tomato-25C-Water,25,66,0.450548246
7,Tomato-25C-Water,25,67,0.478472222
7,Tomato-25C-Water,25,68,0.516922515
7,Tomato-25C-Water,25,69,0.579934211
7,Tomato-25C-Water,25,70,0.607894737
7,Tomato-25C-Water,25,71,0.639437135
7,Tomato-25C-Water,25,72,0.665698099
7,Tomato-25C-Water,25,73,0.691959064
7,Tomato-25C-Water,25,74,0.727010234
7,Tomato-25C-Water,25,75,0.748026316
7,Tomato-25C-Water,25,76,0.765497076
7,Tomato-25C-Water,25,77,0.797039474
7,Tomato-25C-Water,25,78,0.838925439
7,Tomato-25C-Water,25,79,0.863377193
7,Tomato-25C-Water,25,80,0.884393275
7,Tomato-25C-Water,25,81,0.901864035
7,Tomato-25C-Water,25,82,0.917635234
7,Tomato-25C-Water,25,83,0.926388889
7,Tomato-25C-Water,25,84,0.940671992
7,Tomato-25C-Water,25,85,0.958463868
7,Tomato-25C-Water,25,86,0.965729428
7,Tomato-25C-Water,25,87,0.972994987
7,Tomato-25C-Water,25,88,0.980845343
7,Tomato-25C-Water,25,89,0.982262949
