TrtID,TrtDesc,PrimingWP,PrimingDuration,CumTime,CumFraction
1,Control,0,0,0,0
1,Control,0,0,23.8,0
1,Control,0,0,46,0
1,Control,0,0,69.7,0
1,Control,0,0,94.5,0.05
1,Control,0,0,118.8,0.92
1,Control,0,0,166.1,0.99
2,Primed,-0.51,24,0,0
2,Primed,-0.51,24,23.8,0
2,Primed,-0.51,24,46,0
2,Primed,-0.51,24,69.7,0.76
2,Primed,-0.51,24,94.5,0.97
2,Primed,-0.51,24,118.8,0.97
2,Primed,-0.51,24,166.1,0.97
3,Primed,-0.51,72,0,0
3,Primed,-0.51,72,23.8,0.12
3,Primed,-0.51,72,46,0.99
3,Primed,-0.51,72,69.7,1
3,Primed,-0.51,72,94.5,1
3,Primed,-0.51,72,118.8,1
3,Primed,-0.51,72,166.1,1
4,Primed,-0.51,120,0,0
4,Primed,-0.51,120,23.8,0.42
4,Primed,-0.51,120,46,0.8
4,Primed,-0.51,120,69.7,0.98
4,Primed,-0.51,120,94.5,0.99
4,Primed,-0.51,120,118.8,0.99
4,Primed,-0.51,120,166.1,0.99
5,Primed,-0.51,148,0,0
5,Primed,-0.51,148,23.8,0.55
5,Primed,-0.51,148,46,0.88
5,Primed,-0.51,148,69.7,0.96
5,Primed,-0.51,148,94.5,0.97
5,Primed,-0.51,148,118.8,0.98
5,Primed,-0.51,148,166.1,0.98
6,Primed,-0.91,24,0,0
6,Primed,-0.91,24,23.8,0
6,Primed,-0.91,24,46,0
6,Primed,-0.91,24,69.7,0.41
6,Primed,-0.91,24,94.5,0.97
6,Primed,-0.91,24,118.8,0.99
6,Primed,-0.91,24,166.1,0.99
7,Primed,-0.91,72,0,0
7,Primed,-0.91,72,23.8,0
7,Primed,-0.91,72,46,0.17
7,Primed,-0.91,72,69.7,1
7,Primed,-0.91,72,94.5,1
7,Primed,-0.91,72,118.8,1
7,Primed,-0.91,72,166.1,1
8,Primed,-0.91,120,0,0
8,Primed,-0.91,120,23.8,0
8,Primed,-0.91,120,46,0.58
8,Primed,-0.91,120,69.7,0.97
8,Primed,-0.91,120,94.5,0.99
8,Primed,-0.91,120,118.8,0.99
8,Primed,-0.91,120,166.1,1
9,Primed,-0.91,148,0,0
9,Primed,-0.91,148,23.8,0
9,Primed,-0.91,148,46,0.63
9,Primed,-0.91,148,69.7,1
9,Primed,-0.91,148,94.5,1
9,Primed,-0.91,148,118.8,1
9,Primed,-0.91,148,166.1,1
10,Primed,-1.42,24,0,0
10,Primed,-1.42,24,23.8,0
10,Primed,-1.42,24,46,0
10,Primed,-1.42,24,69.7,0.01
10,Primed,-1.42,24,94.5,0.76
10,Primed,-1.42,24,118.8,0.99
10,Primed,-1.42,24,166.1,1
11,Primed,-1.42,72,0,0
11,Primed,-1.42,72,23.8,0
11,Primed,-1.42,72,46,0
11,Primed,-1.42,72,69.7,0.04
11,Primed,-1.42,72,94.5,0.89
11,Primed,-1.42,72,118.8,0.98
11,Primed,-1.42,72,166.1,1
12,Primed,-1.42,120,0,0
12,Primed,-1.42,120,23.8,0
12,Primed,-1.42,120,46,0
12,Primed,-1.42,120,69.7,0.17
12,Primed,-1.42,120,94.5,0.96
12,Primed,-1.42,120,118.8,1
12,Primed,-1.42,120,166.1,1
13,Primed,-1.42,148,0,0
13,Primed,-1.42,148,23.8,0
13,Primed,-1.42,148,46,0
13,Primed,-1.42,148,69.7,0.35
13,Primed,-1.42,148,94.5,0.97
13,Primed,-1.42,148,118.8,0.99
13,Primed,-1.42,148,166.1,0.99
