TrtID,TrtDesc,GermWP,CumTime,CumFraction
1,Tomato-20C-Water,0,70,0.063
1,Tomato-20C-Water,0,71,0.073
1,Tomato-20C-Water,0,73,0.094
1,Tomato-20C-Water,0,74,0.115
1,Tomato-20C-Water,0,75,0.146
1,Tomato-20C-Water,0,76,0.177
1,Tomato-20C-Water,0,77,0.208
1,Tomato-20C-Water,0,78,0.219
1,Tomato-20C-Water,0,79,0.271
1,Tomato-20C-Water,0,80,0.292
1,Tomato-20C-Water,0,81,0.313
1,Tomato-20C-Water,0,82,0.344
1,Tomato-20C-Water,0,83,0.354
1,Tomato-20C-Water,0,85,0.417
1,Tomato-20C-Water,0,86,0.438
1,Tomato-20C-Water,0,87,0.469
1,Tomato-20C-Water,0,88,0.510
1,Tomato-20C-Water,0,89,0.531
1,Tomato-20C-Water,0,90,0.563
1,Tomato-20C-Water,0,91,0.625
1,Tomato-20C-Water,0,92,0.656
1,Tomato-20C-Water,0,93,0.688
1,Tomato-20C-Water,0,95,0.740
1,Tomato-20C-Water,0,96,0.792
1,Tomato-20C-Water,0,97,0.823
1,Tomato-20C-Water,0,98,0.833
1,Tomato-20C-Water,0,99,0.854
1,Tomato-20C-Water,0,101,0.865
1,Tomato-20C-Water,0,102,0.906
1,Tomato-20C-Water,0,103,0.917
1,Tomato-20C-Water,0,106,0.938
1,Tomato-20C-Water,0,107,0.948
1,Tomato-20C-Water,0,109,0.958
1,Tomato-20C-Water,0,116,0.979
2,Tomato-20C-Water,0,121,0.990
2,Tomato-20C-0.25MPa,-0.25,81,0.052
2,Tomato-20C-0.25MPa,-0.25,83,0.083
2,Tomato-20C-0.25MPa,-0.25,85,0.094
2,Tomato-20C-0.25MPa,-0.25,86,0.104
2,Tomato-20C-0.25MPa,-0.25,87,0.125
2,Tomato-20C-0.25MPa,-0.25,88,0.135
2,Tomato-20C-0.25MPa,-0.25,89,0.146
2,Tomato-20C-0.25MPa,-0.25,90,0.167
2,Tomato-20C-0.25MPa,-0.25,91,0.188
2,Tomato-20C-0.25MPa,-0.25,92,0.219
2,Tomato-20C-0.25MPa,-0.25,93,0.240
2,Tomato-20C-0.25MPa,-0.25,94,0.260
2,Tomato-20C-0.25MPa,-0.25,95,0.271
2,Tomato-20C-0.25MPa,-0.25,96,0.333
2,Tomato-20C-0.25MPa,-0.25,97,0.375
2,Tomato-20C-0.25MPa,-0.25,98,0.406
2,Tomato-20C-0.25MPa,-0.25,99,0.438
2,Tomato-20C-0.25MPa,-0.25,100,0.469
2,Tomato-20C-0.25MPa,-0.25,101,0.490
2,Tomato-20C-0.25MPa,-0.25,102,0.510
2,Tomato-20C-0.25MPa,-0.25,103,0.552
2,Tomato-20C-0.25MPa,-0.25,104,0.573
2,Tomato-20C-0.25MPa,-0.25,105,0.594
2,Tomato-20C-0.25MPa,-0.25,106,0.625
2,Tomato-20C-0.25MPa,-0.25,107,0.646
2,Tomato-20C-0.25MPa,-0.25,108,0.688
2,Tomato-20C-0.25MPa,-0.25,109,0.719
2,Tomato-20C-0.25MPa,-0.25,110,0.729
2,Tomato-20C-0.25MPa,-0.25,111,0.740
2,Tomato-20C-0.25MPa,-0.25,112,0.750
2,Tomato-20C-0.25MPa,-0.25,113,0.760
2,Tomato-20C-0.25MPa,-0.25,114,0.792
2,Tomato-20C-0.25MPa,-0.25,115,0.813
2,Tomato-20C-0.25MPa,-0.25,116,0.823
2,Tomato-20C-0.25MPa,-0.25,117,0.833
2,Tomato-20C-0.25MPa,-0.25,118,0.844
2,Tomato-20C-0.25MPa,-0.25,120,0.854
2,Tomato-20C-0.25MPa,-0.25,121,0.865
2,Tomato-20C-0.25MPa,-0.25,122,0.875
2,Tomato-20C-0.25MPa,-0.25,123,0.896
2,Tomato-20C-0.25MPa,-0.25,125,0.906
2,Tomato-20C-0.25MPa,-0.25,127,0.927
2,Tomato-20C-0.25MPa,-0.25,128,0.938
2,Tomato-20C-0.25MPa,-0.25,131,0.948
2,Tomato-20C-0.25MPa,-0.25,133,0.969
2,Tomato-20C-0.25MPa,-0.25,136,0.979
2,Tomato-20C-0.25MPa,-0.25,146,0.990
3,Tomato-20C-0.4MPa,-0.4,100,0.052
3,Tomato-20C-0.4MPa,-0.4,102,0.063
3,Tomato-20C-0.4MPa,-0.4,103,0.073
3,Tomato-20C-0.4MPa,-0.4,104,0.083
3,Tomato-20C-0.4MPa,-0.4,106,0.094
3,Tomato-20C-0.4MPa,-0.4,107,0.135
3,Tomato-20C-0.4MPa,-0.4,108,0.146
3,Tomato-20C-0.4MPa,-0.4,109,0.167
