TrtID,TrtDesc,GermTemp,CumTime,CumFraction
1,Tomato-15C-Water,15,95,0.063
1,Tomato-15C-Water,15,101,0.083
1,Tomato-15C-Water,15,103,0.104
1,Tomato-15C-Water,15,106,0.125
1,Tomato-15C-Water,15,108,0.167
1,Tomato-15C-Water,15,110,0.208
1,Tomato-15C-Water,15,112,0.25
1,Tomato-15C-Water,15,115,0.281
1,Tomato-15C-Water,15,118,0.344
1,Tomato-15C-Water,15,120,0.396
1,Tomato-15C-Water,15,122,0.427
1,Tomato-15C-Water,15,125,0.479
1,Tomato-15C-Water,15,127,0.51
1,Tomato-15C-Water,15,129,0.573
1,Tomato-15C-Water,15,131,0.604
1,Tomato-15C-Water,15,133,0.698
1,Tomato-15C-Water,15,136,0.729
1,Tomato-15C-Water,15,138,0.76
1,Tomato-15C-Water,15,141,0.802
1,Tomato-15C-Water,15,144,0.844
1,Tomato-15C-Water,15,149,0.885
1,Tomato-15C-Water,15,155,0.927
1,Tomato-15C-Water,15,166,0.948
1,Tomato-15C-Water,15,169,0.969
2,Tomato-20C-Water,20,71,0.073
2,Tomato-20C-Water,20,73,0.094
2,Tomato-20C-Water,20,74,0.115
2,Tomato-20C-Water,20,75,0.146
2,Tomato-20C-Water,20,76,0.177
2,Tomato-20C-Water,20,77,0.208
2,Tomato-20C-Water,20,78,0.219
2,Tomato-20C-Water,20,79,0.271
2,Tomato-20C-Water,20,80,0.292
2,Tomato-20C-Water,20,81,0.313
2,Tomato-20C-Water,20,82,0.344
2,Tomato-20C-Water,20,83,0.354
2,Tomato-20C-Water,20,85,0.417
2,Tomato-20C-Water,20,86,0.438
2,Tomato-20C-Water,20,87,0.469
2,Tomato-20C-Water,20,88,0.51
2,Tomato-20C-Water,20,89,0.531
2,Tomato-20C-Water,20,90,0.563
2,Tomato-20C-Water,20,91,0.625
2,Tomato-20C-Water,20,92,0.656
2,Tomato-20C-Water,20,93,0.688
2,Tomato-20C-Water,20,95,0.74
2,Tomato-20C-Water,20,96,0.792
2,Tomato-20C-Water,20,97,0.823
2,Tomato-20C-Water,20,98,0.833
2,Tomato-20C-Water,20,99,0.854
2,Tomato-20C-Water,20,101,0.865
2,Tomato-20C-Water,20,102,0.906
2,Tomato-20C-Water,20,103,0.917
2,Tomato-20C-Water,20,106,0.938
2,Tomato-20C-Water,20,107,0.948
2,Tomato-20C-Water,20,109,0.958
2,Tomato-20C-Water,20,116,0.979
2,Tomato-20C-Water,20,121,0.99
3,Tomato-25C-Water,25,47,0.034
3,Tomato-25C-Water,25,48,0.047
3,Tomato-25C-Water,25,49,0.063
3,Tomato-25C-Water,25,50,0.084
3,Tomato-25C-Water,25,51,0.101
3,Tomato-25C-Water,25,52,0.126
3,Tomato-25C-Water,25,53,0.138
3,Tomato-25C-Water,25,54,0.154
3,Tomato-25C-Water,25,55,0.171
3,Tomato-25C-Water,25,56,0.185
3,Tomato-25C-Water,25,57,0.216
3,Tomato-25C-Water,25,58,0.241
3,Tomato-25C-Water,25,59,0.272
3,Tomato-25C-Water,25,60,0.292
3,Tomato-25C-Water,25,61,0.315
3,Tomato-25C-Water,25,62,0.342
3,Tomato-25C-Water,25,63,0.384
3,Tomato-25C-Water,25,64,0.409
3,Tomato-25C-Water,25,65,0.43
3,Tomato-25C-Water,25,66,0.451
3,Tomato-25C-Water,25,67,0.478
3,Tomato-25C-Water,25,68,0.517
3,Tomato-25C-Water,25,69,0.58
3,Tomato-25C-Water,25,70,0.608
3,Tomato-25C-Water,25,71,0.639
3,Tomato-25C-Water,25,72,0.666
3,Tomato-25C-Water,25,73,0.692
3,Tomato-25C-Water,25,74,0.727
3,Tomato-25C-Water,25,75,0.748
3,Tomato-25C-Water,25,76,0.765
3,Tomato-25C-Water,25,77,0.797
3,Tomato-25C-Water,25,78,0.839
3,Tomato-25C-Water,25,79,0.863
3,Tomato-25C-Water,25,80,0.884
3,Tomato-25C-Water,25,81,0.902
3,Tomato-25C-Water,25,82,0.918
3,Tomato-25C-Water,25,83,0.926
3,Tomato-25C-Water,25,84,0.941
3,Tomato-25C-Water,25,85,0.958
3,Tomato-25C-Water,25,86,0.966
3,Tomato-25C-Water,25,87,0.973
3,Tomato-25C-Water,25,88,0.981
