TrtID,TrtDesc,GermTemp,CumTime,CumFraction
1,Tomato-22.5C-Water,22.5,53,0.017241379
1,Tomato-22.5C-Water,22.5,54,0.034482759
1,Tomato-22.5C-Water,22.5,55,0.068965517
1,Tomato-22.5C-Water,22.5,57,0.103448276
1,Tomato-22.5C-Water,22.5,58,0.189655172
1,Tomato-22.5C-Water,22.5,60,0.206896552
1,Tomato-22.5C-Water,22.5,61,0.25862069
1,Tomato-22.5C-Water,22.5,62,0.310344828
1,Tomato-22.5C-Water,22.5,64,0.396551724
1,Tomato-22.5C-Water,22.5,65,0.413793103
1,Tomato-22.5C-Water,22.5,66,0.431034483
1,Tomato-22.5C-Water,22.5,68,0.448275862
1,Tomato-22.5C-Water,22.5,72,0.482758621
1,Tomato-22.5C-Water,22.5,73,0.517241379
1,Tomato-22.5C-Water,22.5,75,0.551724138
1,Tomato-22.5C-Water,22.5,76,0.568965517
1,Tomato-22.5C-Water,22.5,77,0.603448276
1,Tomato-22.5C-Water,22.5,78,0.672413793
1,Tomato-22.5C-Water,22.5,80,0.689655172
1,Tomato-22.5C-Water,22.5,81,0.74137931
1,Tomato-22.5C-Water,22.5,82,0.75862069
1,Tomato-22.5C-Water,22.5,83,0.775862069
1,Tomato-22.5C-Water,22.5,85,0.793103448
1,Tomato-22.5C-Water,22.5,86,0.810344828
1,Tomato-22.5C-Water,22.5,87,0.844827586
1,Tomato-22.5C-Water,22.5,88,0.862068966
1,Tomato-22.5C-Water,22.5,89,0.896551724
1,Tomato-22.5C-Water,22.5,90,0.913793103
1,Tomato-22.5C-Water,22.5,92,0.948275862
1,Tomato-22.5C-Water,22.5,93,0.965517241
1,Tomato-22.5C-Water,22.5,101,0.982758621
1,Tomato-22.5C-Water,22.5,150,1
2,Tomato-20C-Water,20,52,0.015151515
2,Tomato-20C-Water,20,57,0.03030303
2,Tomato-20C-Water,20,58,0.045454545
2,Tomato-20C-Water,20,61,0.060606061
2,Tomato-20C-Water,20,62,0.075757576
2,Tomato-20C-Water,20,63,0.121212121
2,Tomato-20C-Water,20,64,0.151515152
2,Tomato-20C-Water,20,66,0.181818182
2,Tomato-20C-Water,20,67,0.227272727
2,Tomato-20C-Water,20,68,0.257575758
2,Tomato-20C-Water,20,70,0.303030303
2,Tomato-20C-Water,20,71,0.318181818
2,Tomato-20C-Water,20,72,0.348484848
2,Tomato-20C-Water,20,73,0.378787879
2,Tomato-20C-Water,20,76,0.393939394
2,Tomato-20C-Water,20,77,0.409090909
2,Tomato-20C-Water,20,81,0.424242424
2,Tomato-20C-Water,20,83,0.439393939
2,Tomato-20C-Water,20,84,0.484848485
2,Tomato-20C-Water,20,85,0.560606061
2,Tomato-20C-Water,20,86,0.575757576
2,Tomato-20C-Water,20,87,0.590909091
2,Tomato-20C-Water,20,88,0.606060606
2,Tomato-20C-Water,20,89,0.636363636
2,Tomato-20C-Water,20,91,0.666666667
2,Tomato-20C-Water,20,92,0.727272727
2,Tomato-20C-Water,20,93,0.757575758
2,Tomato-20C-Water,20,94,0.772727273
2,Tomato-20C-Water,20,95,0.818181818
2,Tomato-20C-Water,20,96,0.833333333
2,Tomato-20C-Water,20,98,0.848484848
2,Tomato-20C-Water,20,99,0.863636364
2,Tomato-20C-Water,20,102,0.878787879
2,Tomato-20C-Water,20,103,0.893939394
2,Tomato-20C-Water,20,105,0.909090909
2,Tomato-20C-Water,20,109,0.924242424
2,Tomato-20C-Water,20,113,0.939393939
2,Tomato-20C-Water,20,121,0.954545455
2,Tomato-20C-Water,20,133,0.96969697
2,Tomato-20C-Water,20,154,0.984848485
2,Tomato-20C-Water,20,187,1
3,Tomato-17.5C-Water,17.5,68,0.026315789
3,Tomato-17.5C-Water,17.5,71,0.052631579
