TrtID,TrtDesc,GermPromoterDosage,CumTime,CumFraction
8,Tomato-GA-gib1-Germ-1,1,0,0
8,Tomato-GA-gib1-Germ-1,1,48,0
8,Tomato-GA-gib1-Germ-1,1,72,0.041666667
8,Tomato-GA-gib1-Germ-1,1,432,0.041666667
9,Tomato-GA-gib1-Germ-10,10,0,0
9,Tomato-GA-gib1-Germ-10,10,96,0
9,Tomato-GA-gib1-Germ-10,10,120,0.041666667
9,Tomato-GA-gib1-Germ-10,10,144,0.125
9,Tomato-GA-gib1-Germ-10,10,168,0.166666667
9,Tomato-GA-gib1-Germ-10,10,216,0.208333333
9,Tomato-GA-gib1-Germ-10,10,288,0.25
9,Tomato-GA-gib1-Germ-10,10,432,0.25
10,Tomato-GA-gib1-Germ-100,100,0,0
10,Tomato-GA-gib1-Germ-100,100,24,0
10,Tomato-GA-gib1-Germ-100,100,48,0
10,Tomato-GA-gib1-Germ-100,100,72,0.125
10,Tomato-GA-gib1-Germ-100,100,96,0.291666667
10,Tomato-GA-gib1-Germ-100,100,120,0.541666667
10,Tomato-GA-gib1-Germ-100,100,144,0.708333333
10,Tomato-GA-gib1-Germ-100,100,168,0.791666667
10,Tomato-GA-gib1-Germ-100,100,216,0.833333333
10,Tomato-GA-gib1-Germ-100,100,240,0.875
10,Tomato-GA-gib1-Germ-100,100,432,0.875
18,Tomato-GA-gib1-R50-1,1,0,0
18,Tomato-GA-gib1-R50-1,1,74,0
18,Tomato-GA-gib1-R50-1,1,75,0.041666667
19,Tomato-GA-gib1-R50-10,10,0,0
19,Tomato-GA-gib1-R50-10,10,118,0
19,Tomato-GA-gib1-R50-10,10,119,0.045454545
19,Tomato-GA-gib1-R50-10,10,142,0.090909091
19,Tomato-GA-gib1-R50-10,10,155,0.136363636
19,Tomato-GA-gib1-R50-10,10,170,0.181818182
19,Tomato-GA-gib1-R50-10,10,219,0.227272727
19,Tomato-GA-gib1-R50-10,10,222,0.272727273
19,Tomato-GA-gib1-R50-10,10,299,0.318181818
20,Tomato-GA-gib1-R50-100,100,0,0
20,Tomato-GA-gib1-R50-100,100,85,0
20,Tomato-GA-gib1-R50-100,100,86,0.045454545
20,Tomato-GA-gib1-R50-100,100,95,0.090909091
20,Tomato-GA-gib1-R50-100,100,98,0.136363636
20,Tomato-GA-gib1-R50-100,100,102,0.181818182
20,Tomato-GA-gib1-R50-100,100,103,0.227272727
20,Tomato-GA-gib1-R50-100,100,108,0.272727273
20,Tomato-GA-gib1-R50-100,100,122,0.318181818
20,Tomato-GA-gib1-R50-100,100,131,0.363636364
20,Tomato-GA-gib1-R50-100,100,132,0.409090909
20,Tomato-GA-gib1-R50-100,100,136,0.454545455
20,Tomato-GA-gib1-R50-100,100,139,0.5
20,Tomato-GA-gib1-R50-100,100,142,0.545454545
20,Tomato-GA-gib1-R50-100,100,150,0.590909091
20,Tomato-GA-gib1-R50-100,100,152,0.636363636
20,Tomato-GA-gib1-R50-100,100,160,0.681818182
20,Tomato-GA-gib1-R50-100,100,163,0.727272727
20,Tomato-GA-gib1-R50-100,100,164,0.772727273
20,Tomato-GA-gib1-R50-100,100,167,0.818181818
20,Tomato-GA-gib1-R50-100,100,211,0.863636364
20,Tomato-GA-gib1-R50-100,100,247,0.909090909
